Architecture,Class,Metric,RF,GNN_mean,GNN_std,diff,t_stat,p_value,significant_bonf
GCN,AA,precision,0.7386363636363636,0.7355747022837124,0.031238633631247,-0.0030616613526512904,-0.294026434266524,0.7754059299069935,False
GCN,AA,recall,0.7558139534883721,0.7581395348837209,0.0315457208517454,0.0023255813953487747,0.22116293423233999,0.8299017405369069,False
GCN,AA,f1,0.7471264367816092,0.7456099340334509,0.0131723355335467,-0.0015165027481582882,-0.3453835679244873,0.7377412580874021,False
GCN,AI,precision,0.7454545454545455,0.6967199813224606,0.0154808091559664,-0.04873456413208488,-9.444189313573887,5.747480044560049e-06,True
GCN,AI,recall,0.6029411764705882,0.7411764705882352,0.0759028700033173,0.138235294117647,5.463639020959505,0.0003985376325694734,True
GCN,AI,f1,0.6666666666666666,0.7161326282822216,0.0363752624196541,0.04946596161555494,4.079637505693518,0.002759509966000495,True
GCN,IA,precision,0.6666666666666666,0.4143434343434343,0.0416755117639564,-0.25232323232323234,-18.163416954710847,2.11965678342807e-08,True
GCN,IA,recall,0.2,0.38,0.0748331477354788,0.18,7.216053531635461,4.9957675311240735e-05,True
GCN,IA,f1,0.3076923076923077,0.3951629072681704,0.0585108693934245,0.08747059957586267,4.4848384829687395,0.0015217818992960819,True
GCN,II,precision,0.7,0.8209786858646424,0.0576027452273119,0.12097868586464244,6.30067293080754,0.00014087139841856278,True
GCN,II,recall,0.9032258064516129,0.7322580645161291,0.0307722323037724,-0.1709677419354838,-16.667728903878515,4.501181360971884e-08,True
GCN,II,f1,0.7887323943661971,0.7724746355988686,0.0248824033530198,-0.01625775876732849,-1.9601513410908598,0.08162454797043894,False
GAT,AA,precision,0.7386363636363636,0.770212945034982,0.0166536474185285,0.03157658139861841,5.6882280388896,0.0002987318793705729,True
GAT,AA,recall,0.7558139534883721,0.7313953488372092,0.0217227228979876,-0.024418604651162856,-3.3723126837048136,0.008226724883487746,True
GAT,AA,f1,0.7471264367816092,0.7500698507794772,0.0144257441670454,0.0029434139978680163,0.6121169134398013,0.5556071465405021,False
