"molecule_chembl_id","smiles","ido1_ic50","tdo_ic50"
CHEMBL1909734,Clc1ccccc1-c1cnn[nH]1,86000.0,100000.0
CHEMBL2147992,CCc1cccc(-c2c[nH]nn2)c1,13000.0,100000.0
CHEMBL2148074,Oc1ccc(Cl)cc1-c1c[nH]nn1,330.0,100000.0
CHEMBL4287290,N#Cc1nccc2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200.0,500.0
CHEMBL4282281,Nc1oc2c(-c3ccncc3)nc(F)cc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
CHEMBL4279627,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccc(F)c(C(F)(F)F)c1,200.0,500.0
CHEMBL4295250,Cc1cc(-c2nccc3c(Nc4ccc(F)c(C(F)(F)F)c4)c(N)oc23)ccn1,200.0,500.0
CHEMBL4294820,Cc1cc(-c2nccc3c(Nc4ccc(F)cc4)c(N)oc23)ccn1,200.0,500.0
CHEMBL4292367,Nc1oc2c(-c3ccnc(C(=O)N4CCCCC4)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
CHEMBL4549778,Fc1cccc2c1C(C1CCOCC1)n1cncc1-2,969.0,189.0
CHEMBL1652342,O=C1Nc2ccccc2/C1=N/Nc1cccc(Cl)c1,1510.0,46810.0
CHEMBL4798028,O=C1c2ccccc2C(=O)c2c1nnn2-c1cccnc1,23.0,21.0
CHEMBL4763146,O=[N+]([O-])c1ccc(N/C(=N\O)c2ccc(Cl)cc2)c2nonc12,113.0,40000.0
CHEMBL4296926,Cl/N=C1/C=CC=C/C1=N/Cl,9170.0,8430.0
CHEMBL5218595,O[C@@H]1CCCC[C@H]1CNc1cc(Cl)cc2[nH]ncc12,1870.0,130.0
CHEMBL5220341,Nc1cc(NC[C@@H]2CCCC[C@H]2O)c2cn[nH]c2c1,300000.0,300000.0
CHEMBL5619220,Oc1ccc2cc(-c3ccc4c(c3)OCO4)ncc2c1,100000.0,100000.0
CHEMBL5619268,COc1ccc2cc(-c3ccc(NC(=O)c4ccc(F)cc4)cc3)ncc2c1O,100000.0,100000.0
CHEMBL5764425,CC1(O)C2CC3CC1CC(C(O)CC1c4ccccc4-c4cncn41)(C3)C2,100.0,300.0
CHEMBL6012813,CNc1ccc(C(O)c2c(C)sc3cncn23)cc1,1430.0,10200.0
CHEMBL5919886,O[C@@H](c1c(C2CC2)sc2cncn12)C1CCC(c2ccccc2)CC1,6.45,2300.0
CHEMBL5909287,CC(C)(C)C1CCC(CC(O)c2c(C3CC3)sc3cncn23)CC1,950.0,4330.0
CHEMBL5992557,OC(CC1CCCCC1c1ccccc1)c1c(C2CC2)sc2cncn12,1040.0,9460.0
CHEMBL5817676,OC(c1c(-c2ccsc2)sc2cncn12)C1CCCCC1,144.0,181.0
CHEMBL5977223,Cc1cscc1-c1sc2cncn2c1C(O)C1CCCCC1,537.0,420.0
CHEMBL6037453,OC(c1ccc(Cl)cc1)c1c(C2CC2)sc2cncn12,63.9,1090.0
CHEMBL6031347,OC(c1c(C2CC2)sc2cncn12)C12CC(c3ccccc3)(C1)C2,28.6,1270.0
CHEMBL5833233,CCc1sc2cncn2c1C(O)c1cn(C2CCCC2)nn1,116.0,10200.0
CHEMBL5417450,CN(C)CCc1ccc2nc3n(c(=O)c2c1)C1C=CC(F)=CC1C3=O,20.0,60.0
CHEMBL5964586,O=C(CC1c2ccccc2-c2cnnn21)C1CCCCC1,5500.0,5500.0
CHEMBL6043299,O=C(CC1c2c(F)cccc2-c2cncn21)C12CC3CC(CC(C3)C1)C2,100.0,500.0
CHEMBL5928078,CS(=O)(=O)N1CCC(n2cc(-c3ccc(N4CCC(C5c6c(F)cccc6-c6cncn65)CC4)cc3)cn2)CC1,14.2,104.0
CHEMBL3747764,OC(CC1c2ccccc2-n2cncc21)C1CCCCC1,1000.0,100.0
CHEMBL3909480,Cc1n[nH]c2c1C(c1ccc(F)c(Cl)c1)c1c([nH]c(=O)[nH]c1=O)O2,438.0,3000.0
CHEMBL4245579,CN(C)CCNC(=O)c1c2c(n3ccccc13)C(=O)c1cccnc1C2=O,188.0,7150.0
CHEMBL2147994,Fc1cccc(-c2c[nH]nn2)c1,47000.0,100000.0
CHEMBL4165309,Oc1ccc(F)cc1-c1cncn1Cc1cc2cc(F)ccc2[nH]1,113.0,84000.0
CHEMBL4289074,CCOC(=O)Nc1oc2c(-c3ccccc3)nccc2c1Nc1ccc(F)c(Cl)c1,1000.0,2000.0
CHEMBL4288020,CCOC(=O)Nc1oc2c(Br)nccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,1000.0,2000.0
CHEMBL4280094,N#Cc1ccc2c(Nc3ccc(F)c(Cl)c3)c(N)sc2c1,1000.0,2000.0
CHEMBL4287091,CCCc1nccc2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200.0,2000.0
CHEMBL4292539,Nc1oc2cnccc2c1Nc1cc(Cl)c(F)c(Cl)c1,1000.0,500.0
CHEMBL4291859,Cc1ccc(Nc2c(N)oc3cnccc23)cc1,1000.0,500.0
CHEMBL4281007,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200.0,500.0
CHEMBL4277866,COc1ccccc1-c1nccc2c(Nc3ccc(F)c(F)c3)c(N)oc12,200.0,500.0
CHEMBL4291240,CNC(=O)c1cc(-c2nccc3c(Nc4ccccc4Cl)c(N)oc23)ccn1,200.0,500.0
CHEMBL4281374,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)cc4)c(N)oc23)ccn1,200.0,500.0
CHEMBL4290668,CNC(=O)c1cc(-c2nccc3c(Nc4cccc(Cl)c4)c(N)oc23)ccn1,200.0,500.0
CHEMBL4281858,Nc1oc2c(N3CCOCC3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
CHEMBL4278982,CCCNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200.0,2000.0
CHEMBL4284608,Nc1oc2c(-c3ccnc(C(=O)Nc4ccccn4)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,2000.0
CHEMBL4288429,COC(=O)c1cccc(Cn2cnc3c2C(=O)c2ccccc2C3=O)c1,42200.0,100000.0
CHEMBL4549976,NS(=O)(=O)NCC(=O)NCCSc1nonc1/C(=N/O)Nc1ccc(F)c(C(F)F)c1,93.0,10000.0
CHEMBL4648181,CCOC(=O)/C=C/c1ccc2nc3n(c(=O)c2c1)-c1ccc(F)cc1C3=O,190.0,370.0
CHEMBL5218747,O/N=C(\CNc1cc(Br)cc2[nH]ncc12)c1ccc(O)cc1,57180.0,12860.0
CHEMBL5218640,OCC(Nc1cc(Br)cc2[nH]ncc12)C1CCCCC1,300000.0,300000.0
CHEMBL5219170,O[C@@H]1CCCC[C@H]1CNc1cc(C(F)(F)F)cc2[nH]ncc12,3660.0,400.0
CHEMBL5618380,COc1ccc2cc(-c3cc4ccccc4o3)ncc2c1OC,100000.0,100000.0
CHEMBL5619382,COc1cccc(C(=O)Nc2ccc(-c3cc4ccc(OC)c(O)c4cn3)cc2)c1,14230.0,4080.0
CHEMBL5979893,CC(=O)Nc1ccc(C2CCN(c3cc(C(F)(F)F)cc4cncn34)CC2)cc1,300.0,300.0
CHEMBL5953469,OC(c1c(C2CCCC2)sc2cncn12)C1CCCCC1,237.0,193.0
CHEMBL5890227,OC(CC1CCCCC1)c1c(Cl)sc2cncn12,159.0,1210.0
CHEMBL5920436,CC(C)C1CCC(CC(O)c2c(C3CC3)sc3cncn23)CC1,511.0,2830.0
CHEMBL6031176,OC(c1c(-c2ccccc2)sc2cncn12)C1CCCCC1,382.0,246.0
CHEMBL5779593,OC(c1c(C2CC(F)(F)C2)sc2cncn12)C1CCCCC1,1070.0,1780.0
CHEMBL5825423,OC(c1c([C@@H]2C[C@@H]2F)sc2cncn12)C1CCCCC1,21.8,491.0
CHEMBL5836904,OC(CC1c2ccccc2-c2cnnn21)C1CCC(F)(F)CC1,5500.0,550.0
CHEMBL5999951,CC1(C)OCC(Cn2cc(-c3ccc(N4CCC(C5c6c(F)cccc6-c6cncn65)CC4)cc3)cn2)O1,58.8,319.0
CHEMBL5823254,Fc1cccc2c1C(C1CCN(c3ccc(-c4cnn([C@@H]5CCOC5)c4)cc3)CC1)n1cncc1-2,33.0,296.0
CHEMBL5900018,CC1(C)CN(c2cc(Br)cc3cncn23)CCC12NC(=O)NC2=O,87.1,1202.0
CHEMBL3628552,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(F)cc1,2587.0,7380.0
CHEMBL4293117,CCOC(=O)Nc1oc2c(C#Cc3ccc(C(N)=O)cc3)nccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,1000.0,2000.0
CHEMBL4288912,CCOC(=O)Nc1oc2c(C#N)nccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,1000.0,2000.0
CHEMBL4288670,Nc1oc2c(-c3cccc(Cl)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,2000.0
CHEMBL4284003,Nc1oc2cnccc2c1Nc1ccccc1Cl,1000.0,2000.0
CHEMBL4289193,Nc1sc2ccccc2c1Nc1ccc2c(c1)OCO2,200.0,2000.0
CHEMBL4291312,Nc1oc2c(-c3ccnc(C(=O)N4CCOCC4)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
CHEMBL4562566,Cn1ccc2ccc(N3CCC(C4c5c(F)cccc5-c5cncn54)CC3)cc21,27.0,376.0
CHEMBL4291850,O=C(O)c1cccc(Cn2cnc3c2C(=O)c2ccccc2C3=O)c1,11000.0,100000.0
CHEMBL4281167,O=C1c2cccnc2C(=O)c2sc(-c3cscn3)nc21,22.0,321.5
CHEMBL4539097,Cl.NOC(c1ccccc1)c1ccccc1Cl,18000.0,21800.0
CHEMBL4745769,O=C(Nc1ccc(Cl)cc1)C(CC1CC1)N1CCC2(CC1)COc1cc(C(F)(F)F)ccc12,300.0,15900.0
CHEMBL4780026,O=C(CN1CCC2(CCc3ccccc32)CC1)Nc1ccc(Cl)cc1,670.0,42800.0
CHEMBL4753967,O=C(Nc1ccc(Cl)cc1)C(=O)N1CC[C@H](c2ccnc3ccc(F)cc23)[C@@H](O)C1,6.1,14000.0
CHEMBL4741069,NS(=O)(=O)c1ccc(-n2nnc3c2C(=O)c2ccccc2C3=O)cc1,30.0,48.0
CHEMBL4762733,O=C1c2ccccc2C(=O)c2c1nnn2-c1cnc(Cl)c(Cl)c1,113.0,248.0
CHEMBL4748675,O=[N+]([O-])c1ccc(N/C(Cc2ccccc2F)=N\O)c2nonc12,102.0,30000.0
CHEMBL4647345,O=C1c2cc(F)ccc2-n2c1nc1ccc(CN3CCCC3C(=O)O)cc1c2=O,550.0,180.0
CHEMBL4755556,O=C(/C(=N/O)Nc1ccc(F)c(Br)c1)C1CCN(C(=O)c2ccccc2)CC1,281.0,100000.0
CHEMBL4759802,O=C(/C(=N/O)Nc1ccc(F)c(Br)c1)C1CCN(c2ccccc2)CC1,1019.0,100000.0
CHEMBL4781782,O/N=C(/CC1CCCCC1)Nc1ccc(F)c(Br)c1,578.0,100000.0
CHEMBL4764737,O=C(/C(=N/O)Nc1ccc(F)c(Br)c1)C1CCCCC1,63.0,79348.0
CHEMBL1981840,O=[N+]([O-])/C=C/c1cc2ccccc2[nH]1,2790.0,100000.0
CHEMBL5196298,COc1cc(CNc2cc(Br)cc3[nH]ncc23)c([N+](=O)[O-])cc1OC,18450.0,1040.0
CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,10000.0,9800.0
CHEMBL5273615,Cc1ccc(NC(=O)Nc2cc(-c3ccccc3-c3nc(=O)[nH]o3)cc3c2OCCCC3c2ccccc2)cc1,1.5,6000.0
CHEMBL5618960,COc1ccc2cc(-c3cccnc3)ncc2c1OC,100000.0,100000.0
CHEMBL5949865,OCCc1cc(C(F)(F)F)cn2cncc12,100000.0,100000.0
CHEMBL6053568,OC(c1cccs1)c1c(Cl)sc2cncn12,333.0,690.0
CHEMBL5912430,CC1(CC(O)c2c(C3CC3)sc3cncn23)CCCCC1,40.5,204.0
CHEMBL6031813,OC(c1c(C2CC2)sc2cncn12)C1CCC1,25.1,907.0
CHEMBL5845815,OC(CC1CCC(F)(F)CC1)c1c(C2CC2)sc2cncn12,28.5,263.0
CHEMBL5789568,OC(c1cccc(F)c1)c1c(C2CC2)sc2cncn12,33.1,449.0
CHEMBL5927670,Cc1sc2cncn2c1C(O)c1ccccc1,561.0,1000.0
CHEMBL5747347,OC(c1c(C2CC2)sc2cncn12)C1CCCCCC1,14.2,382.0
CHEMBL3628603,COC1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,1593.0,209.0
CHEMBL4291105,Cc1cccc(Nc2c(N)sc3ccccc23)c1C,1000.0,500.0
