Architecture,Class,Metric,RF,GNN_mean,GNN_std,diff,t_stat,p_value,significant_bonf,direction
GCN,AA,f1,0.7471264367816092,0.7456099340334509,0.0131723355335467,-0.0015165027481582882,-0.3453835679244873,0.7377412580874019,False,RF higher
GCN,AI,f1,0.6666666666666666,0.7161326282822216,0.0363752624196541,0.04946596161555494,4.079637505693518,0.002759509966000495,True,GNN higher
GCN,IA,f1,0.3076923076923077,0.3951629072681704,0.0585108693934245,0.08747059957586267,4.4848384829687395,0.001521781899296304,True,GNN higher
GCN,II,f1,0.7887323943661971,0.7724746355988686,0.0248824033530198,-0.01625775876732849,-1.9601513410908598,0.08162454797043894,False,RF higher
GAT,AA,f1,0.7471264367816092,0.7500698507794772,0.0144257441670454,0.0029434139978680163,0.6121169134398013,0.5556071465405024,False,GNN higher
GAT,AI,f1,0.6666666666666666,0.7308184989302297,0.0151467572057498,0.06415183226356302,12.706052799052712,4.724511948328569e-07,True,GNN higher
GAT,IA,f1,0.3076923076923077,0.5006567635263288,0.0342721694784319,0.1929644558340211,16.891062816037117,4.006520248900358e-08,True,GNN higher
GAT,II,f1,0.7887323943661971,0.7855377860378866,0.0125949449835288,-0.003194608328310533,-0.760926307932664,0.46616907513461925,False,RF higher
GINE,AA,f1,0.7471264367816092,0.7304772882899405,0.0219204014371536,-0.016649148491668653,-2.278582607996787,0.04867517880821093,False,RF higher
GINE,AI,f1,0.6666666666666666,0.6669578360316618,0.0259024600290341,0.00029116936499518076,0.03372297820386272,0.9738341248884126,False,GNN higher
GINE,IA,f1,0.3076923076923077,0.2293422092183701,0.1826498872823943,-0.07835009847393762,-1.2868899013247266,0.23024437073692794,False,RF higher
GINE,II,f1,0.7887323943661971,0.7577253219414877,0.0195728113271937,-0.03100707242470946,-4.752573134186825,0.0010404341112959514,True,RF higher
GraphSAGE,AA,f1,0.7471264367816092,0.7253870083056837,0.0118205984257685,-0.02173942847592547,-5.517342107283061,0.0003717574231116849,True,RF higher
GraphSAGE,AI,f1,0.6666666666666666,0.6809690032776151,0.0201862289270458,0.014302336610948485,2.1255584679988457,0.06247081740406624,False,GNN higher
GraphSAGE,IA,f1,0.3076923076923077,0.2476348960636886,0.1389516692278455,-0.060057411628619106,-1.296653979668431,0.22700699104008248,False,RF higher
GraphSAGE,II,f1,0.7887323943661971,0.763147739329691,0.0141685104701139,-0.025584655036506088,-5.417221892973006,0.00042337093571798157,True,RF higher
