"molecule_chembl_id","smiles","ido1_ic50","tdo_ic50"
CHEMBL412131,Cc1c(SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)c(O)c2ccccc2c1O,340.0,
CHEMBL565489,Cc1cccc(N/C(=N\O)c2nonc2N)c1,550.0,
CHEMBL107103,O=C(c1ccccc1)c1cccc(O)c1,500000.0,
CHEMBL3342385,CCOC(=O)c1cnc2scc(C3=CCCCC3)n12,100000.0,
CHEMBL3765545,O=C1CCc2cc(S(=O)(=O)NNc3ccc(Br)cc3)ccc2N1,72.7,
CHEMBL3798139,Oc1ccc(-c2[nH]cnc2-c2ccccc2)cc1O,6300.0,
CHEMBL3800223,Oc1ccc(F)c(-c2cncn2CCNc2cccc3ccccc23)c1F,30000.0,
CHEMBL3927664,N#Cc1c(-c2ccc(F)cc2)c2c(=O)[nH]c(=O)[nH]c2[nH]c1=O,1149.0,
CHEMBL3918741,N#Cc1c(-c2ccc(Br)cc2)c2c(=O)[nH]c(=O)[nH]c2[nH]c1=O,790.0,
CHEMBL3917645,N#Cc1c(-c2ccc(F)c(Cl)c2)c2c(=O)[nH]c(=O)[nH]c2[nH]c1=O,362.0,
CHEMBL3909309,Cc1n[nH]c2c1C(c1cccc(F)c1)c1c([nH]c(=O)[nH]c1=O)O2,1347.0,
CHEMBL1976581,Cc1ccccc1C1=[N+]([O-])c2ccccc2C1=O,460.0,
CHEMBL581422,COc1ccc(C2=[N+]([O-])c3ccccc3C2=O)cc1,1600.0,
CHEMBL1367036,CC(=O)OCCn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,31300.0,
CHEMBL4094955,Cc1ccc2[nH]cc(C3CC(=O)NC3=O)c2c1,53000.0,
CHEMBL4248954,COC(=O)c1c2c(n3ccccc13)C(=O)c1cccnc1C2=O,448.0,
CHEMBL1224552,NC(=S)NCCc1ccc(Cl)cc1,100000.0,
CHEMBL2148004,CNc1ccccc1-c1c[nH]nn1,1800000.0,
CHEMBL2336699,C[C@H]1c2[nH]c3c(Cl)cccc3c2C[C@@H]2C(=O)N(C)C(=S)N21,119800.0,
CHEMBL277535,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,23000.0,
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,32000.0,
CHEMBL3310976,N#Cc1ccc(S(=O)(=O)NNc2ccc(Br)cc2)cc1,176.0,
CHEMBL3764760,Cl.NOCc1cccc(I)c1,340.0,
CHEMBL4078292,Cc1cccc(NC(=O)Nc2cc(-c3cccc(C(=O)O)c3)ccc2Oc2ccccc2C(C)(C)C)c1,570.0,
CHEMBL4175513,Oc1cc(Cl)ccc1-c1cncn1Cc1cc2cc(F)ccc2[nH]1,21000.0,
CHEMBL4459816,O=C1C(N[C@H](Cc2ccccc2)C(=O)Nc2ccccc2Cl)=C/C(=N/O)c2ccccc21,2090.0,
CHEMBL4216191,O=C(c1ccccc1)n1c(=O)oc2ccccc21,90490.0,
CHEMBL4208319,O=c1oc2ccc([N+](=O)[O-])cc2n1Cc1cccc(F)c1,99830.0,
CHEMBL4204643,O=c1oc2ccc(Cl)cc2n1Cc1cccc(F)c1,9750.0,
CHEMBL4449551,Oc1ccc(Cl)cc1-c1cncn1C1CCCCC1,1900.0,
CHEMBL4571131,O=C(NCc1cccc(Cn2cnc3ccc(Br)cc32)c1)c1cc(Br)c[nH]1,19.0,
CHEMBL4455935,CCOP(=O)(Cc1ccccc1)NCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,119.0,
CHEMBL4535155,Cc1oc(C)c(-c2ccc(N(CC(C)C)CC(C)C)c(NC(=O)Nc3ccccc3F)c2)c1C(=O)O,7.1,
CHEMBL4517780,CCN(c1ccc(-c2c(C)oc(C)c2C(=O)O)cc1NC(=O)Nc1ccccc1F)C1CCCCC1,7.4,
CHEMBL4759322,C[C@@H](NC(=O)Cc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,779.0,
CHEMBL4782213,Clc1ccc(C(Cn2ccnc2)OCc2ccc3ccccc3c2)c(Cl)c1,22300.0,
CHEMBL4642406,CN(C)S(=O)(=O)CCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,97.0,
CHEMBL4750827,O=C(O)c1cc2c(Nc3ccc(F)c(Cl)c3)cccc2[nH]1,100000.0,
CHEMBL4751788,COc1cc(Nc2ccc(F)c(Cl)c2)c2cc(C(=O)O)[nH]c2c1,100000.0,
CHEMBL4745000,O=C(NO)c1cc2c(Nc3ccc(F)c(Cl)c3)ccc(F)c2[nH]1,100000.0,
CHEMBL5091415,O/N=C(\Nc1ccc(F)c(Br)c1)c1nonc1NCCn1cc(C2(O)CCCCC2)nn1,62.0,
CHEMBL4875994,O=C(Nc1ccc(Cl)cc1)C1(c2ccc3c(c2)CCN3c2ccccn2)CCC1,1.6,
CHEMBL4865753,O=C(OC1CC1)N1CCc2nc(C3(C(=O)Nc4ccc(Cl)cc4)CCC3)ccc21,2.0,
CHEMBL4855050,Cc1nccc(N2CC3(CC3)c3nc(C4(NC(=O)c5ccc(F)cc5)CC4)ccc32)n1,34.0,
CHEMBL4865877,C[C@@H](c1ccc2c(n1)CCCN2C(=O)OC1CC1)c1nc2ccc(Cl)cc2[nH]1,0.9819,
CHEMBL4851825,Cc1cccc(N2CCN(C(=O)Cn3nc(C(=O)N4CCC(=O)CC4)c4c3C[C@H]3C[C@@H]43)CC2)c1C,0.51,
CHEMBL4853008,Cn1cncc1-c1ccccc1O,38000.0,
CHEMBL4854423,Cn1cncc1-c1ccccc1N,1700000.0,
CHEMBL4856775,Nc1ccc(Cl)cc1-c1cnn[nH]1,1500.0,
CHEMBL4871312,Nc1ccc(Cl)cc1-c1nnc[nH]1,35.0,
CHEMBL5077002,O=C(NCc1csc(/C(=N/O)Nc2cccc(Br)c2)c1)Nc1ccc(Cl)cc1,25.8,
CHEMBL5187577,CCC(C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@H](Oc2ccnc3ccccc23)CC1,50.0,
CHEMBL5400548,Cc1ccc2/c(=N/O)cc(C(=O)N3CCN(S(=O)(=O)c4ccc(Br)cc4)CC3)oc2c1,10000.0,
CHEMBL5414500,Cc1ccc2/c(=N/O)cc(C(=O)N3CCN(S(=O)(=O)c4ccc(F)c(F)c4)CC3)oc2c1,5590.0,
CHEMBL4850214,O/N=C(/Nc1cccc(F)c1)c1ccc2oc(COCC3CC3)cc2c1,2200.0,
CHEMBL4878957,COc1ccc(CC(=O)NCCc2c[nH]c3c2C(=O)C2=C(C3=O)c3c(C)ccc(OC)c3CC23C(=O)N(C)C(=O)N3C)cc1,330.3,
CHEMBL4859760,COc1ccc(C)c2c1CC1(C(=O)N(C)C(=O)N1C)C1=C2C(=O)c2[nH]cc(CCNC(=O)c3cccc(C(F)(F)F)c3)c2C1=O,42000.0,
CHEMBL5286959,Cc1ccc(NC(=O)Nc2cc(-c3ccccc3-c3nn[nH]n3)ccc2OC(C(C)C)C(C)C)cc1,30.0,
CHEMBL5287356,Cc1ccc(NC(=O)Nc2cc(-c3ccccc3-c3nn[nH]n3)cc3c2OC(C)(C)[C@H]3c2ccccc2)cc1,6.3,
CHEMBL5410625,O=C(c1cn(CCOc2ccc3c(c2)OCO3)c2ccc(Br)cc12)C(F)(F)F,90.0,
CHEMBL5424504,Cc1c(C(=O)C(F)(F)F)c2ccccc2n1CC(N)=O,10000.0,
CHEMBL4542958,Cc1ccc2c(N)noc2n1,100000.0,
CHEMBL5823294,Nc1noc2nc(C(F)(F)F)ccc12,1000.0,
CHEMBL5866239,Nc1noc2ncc([N+](=O)[O-])cc12,5500.0,
CHEMBL5906029,CSc1nc(-c2ccccc2)nc2onc(N)c12,100000.0,
CHEMBL5740599,CS(=N)(=O)N1CC(Oc2nonc2/C(=N/O)N[C@H]2Cc3ccc(F)cc32)C1,94.0,
CHEMBL5878281,CS(=N)(=O)C1CC2(CC(Nc3nonc3/C(=N\O)N[C@@H]3Cc4ccc(F)cc43)C2)C1,73.7,
CHEMBL5960888,Nc1nonc1/C(=N/O)NC1CCc2cc(Cl)ccc21,11960.0,
CHEMBL5962309,O=C(CSc1nonc1/C(=N/O)NC1Cc2cc(F)c(F)cc21)NCCO,417.0,
CHEMBL5876049,O=C(C(O)CO)N1CC(Sc2nonc2/C(=N/O)N[C@H]2Cc3ccc(F)cc32)C1,34.0,
CHEMBL5847959,O/N=C(\N[C@H]1Cc2ccc(F)cc21)c1nonc1NC1CC2(CNC2)C1,114.0,
CHEMBL5782137,O=C(COO)N1CC(Sc2nonc2/C(=N/O)N[C@H]2Cc3ccc(F)cc32)C1,45.8,
CHEMBL6061206,CC(C(=O)O)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,10000.0,
